         1,         0, 16257, 23429, 12238, 16260, 23433, 12252
         2,        50, 16257, 20911, 14835, 16260, 21062, 14695
         3,       100, 16337, 17666, 18136, 16333, 17853, 17960
         4,       150, 16559, 14308, 21469, 16548, 14471, 21319
         5,       200, 16906, 11349, 24316, 16890, 11489, 24191
         6,       250, 17362,  8777, 26701, 17340,  8895, 26598
         7,       300, 17909,  6576, 28648, 17884,  6674, 28566
         8,       350, 18534,  4730, 30183, 18507,  4809, 30121
         9,       400, 19222,  3220, 31334, 19193,  3282, 31290
        10,       450, 19960,  2026, 32129, 19928,  2073, 32102
        11,       500, 20734,  1129, 32597, 20702,  1162, 32584
        12,       550, 21534,   506, 32767, 21501,   527, 32767
        13,       600, 22348,   137, 32667, 22316,   147, 32678
        14,       650, 23167,     0, 32324, 23136,     0, 32346
        15,       700, 23982,    73, 31767, 23952,    65, 31798
        16,       750, 24785,   335, 31022, 24756,   320, 31060
        17,       800, 25569,   765, 30115, 25541,   744, 30159
        18,       850, 26328,  1344, 29070, 26302,  1318, 29119
        19,       900, 27056,  2051, 27910, 27032,  2022, 27962
        20,       950, 27749,  2868, 26657, 27727,  2837, 26712
        21,      1000, 28403,  3778, 25331, 28383,  3745, 25389
        22,      1050, 29015,  4764, 23953, 28997,  4730, 24011
        23,      1100, 29583,  5810, 22538, 29567,  5776, 22597
        24,      1150, 30105,  6902, 21103, 30091,  6868, 21162
        25,      1200, 30579,  8026, 19663, 30567,  7993, 19721
        26,      1250, 31006,  9170, 18231, 30995,  9139, 18287
        27,      1300, 31384, 10322, 16818, 31375, 10294, 16873
        28,      1350, 31714, 11473, 15436, 31707, 11447, 15488
        29,      1400, 31997, 12614, 14092, 31991, 12591, 14141
        30,      1450, 32233, 13737, 12794, 32229, 13717, 12841
        31,      1500, 32424, 14834, 11550, 32421, 14817, 11594
        32,      1550, 32571, 15899, 10363, 32569, 15886, 10405
        33,      1600, 32676, 16928,  9240, 32675, 16919,  9278
        34,      1650, 32741, 17916,  8182, 32740, 17911,  8217
        35,      1700, 32767, 18861,  7192, 32767, 18859,  7224
        36,      1750, 32757, 19758,  6272, 32758, 19760,  6301
        37,      1800, 32714, 20607,  5422, 32714, 20612,  5448
        38,      1850, 32638, 21406,  4642, 32639, 21415,  4665
        39,      1900, 32533, 22155,  3932, 32534, 22166,  3952
        40,      1950, 32401, 22853,  3290, 32401, 22868,  3307
        41,      2000, 32244, 23500,  2715, 32244, 23518,  2730
        42,      2050, 32064, 24098,  2204, 32063, 24119,  2217
        43,      2100, 31863, 24648,  1755, 31862, 24672,  1766
        44,      2150, 31644, 25151,  1366, 31642, 25177,  1375
        45,      2200, 31408, 25609,  1033, 31405, 25637,  1040
        46,      2250, 31157, 26024,   754, 31153, 26054,   759
        47,      2300, 30893, 26398,   524, 30889, 26430,   528
        48,      2350, 30618, 26733,   341, 30612, 26767,   344
        49,      2400, 30334, 27032,   200, 30327, 27068,   202
        50,      2450, 30041, 27298,    99, 30033, 27335,   101
        51,      2500, 29741, 27532,    35, 29732, 27571,    35
        52,      2550, 29436, 27738,     3, 29425, 27778,     3
        53,      2600, 29126, 27918,     0, 29114, 27958,     0
        54,      2650, 28813, 28075,    24, 28800, 28116,    24
        55,      2700, 28498, 28210,    70, 28483, 28252,    70
        56,      2750, 28181, 28327,   137, 28165, 28369,   137
        57,      2800, 27863, 28428,   221, 27846, 28470,   222
        58,      2850, 27545, 28514,   321, 27526, 28556,   322
        59,      2900, 27227, 28588,   432, 27207, 28630,   434
        60,      2950, 26909, 28652,   553, 26888, 28694,   556
        61,      3000, 26593, 28708,   683, 26570, 28750,   686
        62,      3050, 26278, 28757,   818, 26254, 28799,   822
        63,      3100, 25965, 28802,   957, 25940, 28843,   962
        64,      3150, 25654, 28842,  1100, 25627, 28883,  1106
        65,      3200, 25344, 28880,  1243, 25316, 28920,  1250
        66,      3250, 25037, 28918,  1387, 25008, 28957,  1395
        67,      3300, 24731, 28955,  1529, 24701, 28993,  1538
        68,      3350, 24427, 28992,  1669, 24396, 29030,  1680
        69,      3400, 24126, 29032,  1807, 24094, 29069,  1819
        70,      3450, 23826, 29073,  1941, 23793, 29110,  1954
        71,      3500, 23528, 29118,  2072, 23494, 29153,  2086
        72,      3550, 23231, 29165,  2198, 23196, 29200,  2213
        73,      3600, 22936, 29216,  2319, 22901, 29250,  2336
        74,      3650, 22643, 29271,  2436, 22606, 29305,  2454
        75,      3700, 22350, 29330,  2548, 22313, 29363,  2567
        76,      3750, 22059, 29393,  2655, 22021, 29425,  2675
        77,      3800, 21768, 29461,  2758, 21729, 29491,  2779
        78,      3850, 21478, 29532,  2856, 21438, 29562,  2878
        79,      3900, 21189, 29607,  2949, 21148, 29636,  2972
        80,      3950, 20899, 29686,  3038, 20858, 29714,  3063
        81,      4000, 20610, 29769,  3124, 20569, 29796,  3149
        82,      4050, 20321, 29855,  3206, 20279, 29881,  3232
        83,      4100, 20032, 29944,  3285, 19990, 29970,  3312
        84,      4150, 19743, 30036,  3361, 19700, 30061,  3389
        85,      4200, 19454, 30130,  3435, 19410, 30155,  3464
        86,      4250, 19164, 30227,  3506, 19120, 30251,  3536
        87,      4300, 18873, 30326,  3576, 18829, 30348,  3607
        88,      4350, 18582, 30425,  3645, 18538, 30448,  3677
        89,      4400, 18291, 30527,  3713, 18246, 30548,  3745
        90,      4450, 17999, 30628,  3781, 17954, 30649,  3814
        91,      4500, 17706, 30731,  3848, 17661, 30751,  3882
        92,      4550, 17412, 30833,  3916, 17367, 30852,  3951
        93,      4600, 17118, 30935,  3985, 17073, 30953,  4020
        94,      4650, 16824, 31036,  4055, 16778, 31054,  4090
        95,      4700, 16528, 31136,  4126, 16483, 31154,  4162
        96,      4750, 16232, 31236,  4198, 16187, 31252,  4235
        97,      4800, 15936, 31333,  4273, 15890, 31349,  4310
        98,      4850, 15639, 31429,  4349, 15594, 31445,  4387
        99,      4900, 15342, 31523,  4428, 15297, 31538,  4466
       100,      4950, 15045, 31614,  4510, 14999, 31629,  4548
       101,      5000, 14747, 31703,  4594, 14702, 31717,  4633
       102,      5050, 14449, 31789,  4681, 14404, 31802,  4721
       103,      5100, 14152, 31872,  4771, 14106, 31885,  4811
       104,      5150, 13854, 31952,  4864, 13809, 31964,  4905
       105,      5200, 13557, 32029,  4961, 13512, 32041,  5002
       106,      5250, 13260, 32103,  5060, 13215, 32113,  5102
       107,      5300, 12964, 32172,  5163, 12919, 32183,  5205
       108,      5350, 12668, 32239,  5270, 12623, 32249,  5312
       109,      5400, 12373, 32301,  5380, 12329, 32311,  5422
       110,      5450, 12079, 32360,  5493, 12035, 32369,  5536
       111,      5500, 11786, 32415,  5609, 11742, 32423,  5653
       112,      5550, 11494, 32466,  5729, 11450, 32473,  5773
       113,      5600, 11203, 32513,  5853, 11160, 32520,  5896
       114,      5650, 10914, 32556,  5979, 10871, 32562,  6023
       115,      5700, 10626, 32595,  6109, 10583, 32601,  6153
       116,      5750, 10340, 32630,  6242, 10298, 32635,  6286
       117,      5800, 10056, 32661,  6378, 10014, 32666,  6423
       118,      5850,  9774, 32688,  6517,  9732, 32692,  6562
       119,      5900,  9494, 32711,  6659,  9452, 32714,  6704
       120,      5950,  9216, 32730,  6803,  9175, 32733,  6849
       121,      6000,  8941, 32745,  6950,  8900, 32747,  6996
       122,      6050,  8668, 32756,  7100,  8627, 32758,  7146
       123,      6100,  8397, 32764,  7253,  8357, 32764,  7299
       124,      6150,  8130, 32767,  7407,  8090, 32767,  7454
       125,      6200,  7865, 32767,  7565,  7826, 32766,  7611
       126,      6250,  7603, 32762,  7724,  7564, 32761,  7770
       127,      6300,  7344, 32754,  7885,  7306, 32752,  7932
       128,      6350,  7089, 32742,  8048,  7051, 32740,  8095
       129,      6400,  6836, 32727,  8213,  6799, 32724,  8261
       130,      6450,  6587, 32708,  8380,  6551, 32704,  8427
       131,      6500,  6342, 32685,  8549,  6306, 32681,  8596
       132,      6550,  6100, 32659,  8719,  6064, 32654,  8766
       133,      6600,  5862, 32630,  8890,  5827, 32624,  8938
       134,      6650,  5627, 32597,  9063,  5593, 32590,  9111
       135,      6700,  5396, 32560,  9237,  5363, 32553,  9285
       136,      6750,  5170, 32520,  9412,  5137, 32512,  9460
       137,      6800,  4947, 32477,  9588,  4915, 32469,  9636
       138,      6850,  4728, 32430,  9766,  4697, 32421,  9813
       139,      6900,  4514, 32381,  9944,  4483, 32371,  9991
       140,      6950,  4304, 32328, 10123,  4273, 32317, 10170
       141,      7000,  4098, 32272, 10302,  4068, 32261, 10350
       142,      7050,  3896, 32212, 10482,  3868, 32201, 10530
       143,      7100,  3699, 32150, 10663,  3672, 32138, 10711
       144,      7150,  3507, 32085, 10844,  3480, 32072, 10892
       145,      7200,  3319, 32016, 11026,  3293, 32003, 11073
       146,      7250,  3136, 31945, 11208,  3111, 31931, 11255
       147,      7300,  2958, 31871, 11390,  2933, 31856, 11437
       148,      7350,  2784, 31793, 11573,  2760, 31778, 11619
       149,      7400,  2615, 31713, 11755,  2592, 31697, 11801
       150,      7450,  2451, 31630, 11938,  2429, 31614, 11984
       151,      7500,  2293, 31544, 12120,  2271, 31527, 12166
       152,      7550,  2139, 31456, 12303,  2119, 31438, 12348
       153,      7600,  1990, 31364, 12485,  1971, 31346, 12530
       154,      7650,  1846, 31270, 12667,  1828, 31251, 12712
       155,      7700,  1708, 31173, 12849,  1690, 31154, 12894
       156,      7750,  1574, 31074, 13030,  1558, 31054, 13075
       157,      7800,  1446, 30972, 13211,  1431, 30951, 13255
       158,      7850,  1324, 30867, 13392,  1309, 30846, 13436
       159,      7900,  1206, 30760, 13572,  1193, 30738, 13616
       160,      7950,  1094, 30650, 13752,  1082, 30628, 13795
       161,      8000,   988, 30537, 13930,   976, 30515, 13973
       162,      8050,   886, 30423, 14109,   876, 30400, 14151
       163,      8100,   791, 30305, 14286,   781, 30282, 14328
       164,      8150,   700, 30186, 14463,   692, 30162, 14505
       165,      8200,   616, 30064, 14639,   609, 30040, 14680
       166,      8250,   537, 29940, 14814,   531, 29915, 14855
       167,      8300,   463, 29813, 14987,   458, 29788, 15028
       168,      8350,   395, 29684, 15160,   391, 29659, 15201
       169,      8400,   333, 29553, 15332,   330, 29527, 15372
       170,      8450,   277, 29420, 15503,   275, 29394, 15542
       171,      8500,   226, 29285, 15672,   225, 29258, 15712
       172,      8550,   181, 29148, 15841,   181, 29121, 15879
       173,      8600,   141, 29009, 16008,   143, 28981, 16046
       174,      8650,   107, 28867, 16173,   110, 28839, 16211
       175,      8700,    79, 28724, 16338,    83, 28696, 16375
       176,      8750,    57, 28579, 16500,    62, 28550, 16537
       177,      8800,    41, 28432, 16661,    47, 28403, 16698
       178,      8850,    30, 28284, 16821,    37, 28254, 16857
       179,      8900,    25, 28133, 16979,    33, 28104, 17015
       180,      8950,    26, 27981, 17135,    35, 27951, 17170
       181,      9000,    32, 27828, 17290,    43, 27797, 17325
       182,      9050,    45, 27672, 17443,    56, 27642, 17477
       183,      9100,    63, 27516, 17594,    75, 27485, 17627
       184,      9150,    87, 27357, 17743,   100, 27326, 17776
       185,      9200,   116, 27198, 17890,   131, 27166, 17922
       186,      9250,   152, 27037, 18035,   168, 27005, 18067
       187,      9300,   193, 26875, 18178,   210, 26843, 18210
       188,      9350,   239, 26711, 18319,   258, 26679, 18350
       189,      9400,   292, 26546, 18458,   311, 26514, 18488
       190,      9450,   350, 26381, 18595,   371, 26348, 18624
       191,      9500,   414, 26214, 18729,   435, 26181, 18758
       192,      9550,   483, 26046, 18861,   506, 26013, 18890
       193,      9600,   558, 25877, 18991,   582, 25844, 19019
       194,      9650,   639, 25707, 19119,   664, 25674, 19146
       195,      9700,   725, 25537, 19244,   751, 25504, 19270
       196,      9750,   817, 25365, 19366,   844, 25332, 19392
       197,      9800,   914, 25193, 19486,   942, 25160, 19511
       198,      9850,  1016, 25021, 19603,  1046, 24988, 19628
